Benchmark;Dimensions;OffspringPopSize;GenerationsNumber;AllowQuadraticTerms;UseRedundantConstraintsRemoving;UseSeeding;UseDataNormalization;ConstraintsNumber;NonZeroTermsNumber;JaccardTrainingSet;JaccardTestSet;Precision;Recall;F1Score;MeanAngle;LastFitnessScore;NumberOfGenerationBestSolutionTakenFrom;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;Accuracy;FallOut;FalseDiscoveryRate;FalseOmissionRate;MissRate;NegativePredictiveValue;Specificity
Simplexn;4;500;200;False;True;True;True;9;---;0,91169904622007;0;0;NaN;NaN;0,56770371336034;0,884615053261523;177;0;740;99260;0;0,992602333333333;0,00739766666666667;1;0;NaN;1;0,992602333333333
Simplexn;4;1000;100;False;True;False;False;7;---;0,994307933050241;0,616161363788188;0,61743035085474;0,996868712287467;0,759547866239738;0,104213135774424;0,993979473225855;65;127;82;99791;0;0,999180666666667;0,00081637128767638;0,38256964914526;4,00822392262838E-06;0,00313128771253307;0,999995991776077;0,999183628712324
Simplexn;4;1000;100;False;True;False;True;9;---;0,926707287979762;0,286332345649916;0,288214658668412;0,979247637365194;0,430955842540638;0,513748227037417;0,919505679698035;94;124;1182;98691;3;0,988157666666667;0,0118313374992257;0,711785341331588;2,6827605204934E-05;0,0207523626348063;0,999973172394795;0,988168662500774
Simplexn;4;1000;100;False;True;True;False;7;---;0,993390621539044;0;0;NaN;NaN;0,187869578344508;0,993324353013678;68;0;212;99788;0;0,997879;0,00212100000000001;1;0;NaN;1;0,997879
Simplexn;4;1000;100;False;True;True;True;9;---;0,931219181345728;0;0;NaN;NaN;0,532002327176003;0,917073584146449;92;0;577;99423;0;0,994231;0,00576899999999999;1;0;NaN;1;0,994231
Simplexn;5;100;1000;False;True;False;False;9;---;0;0;0;0;NaN;1,56497118137891;0;0;0;183;99807;10;0,998073666666667;0,00182784643605322;1;9,88467533283632E-05;1;0,999901153246672;0,998172153563947
Simplexn;5;100;1000;False;True;False;True;15;---;0,146806552313901;0,000422391716467955;0,000422391716467955;1;0,000844393764318646;1,52668756904936;0;0;10;23577;76413;0;0,764225333333333;0,235798004520946;0,999577608283532;0;0;1;0,764201995479054
Simplexn;5;100;1000;False;True;True;False;14;---;0,389582683816988;0;0;NaN;NaN;1,490684306507;0;0;0;937;99063;0;0,99063;0,00937000000000001;1;0;NaN;1;0,99063
Simplexn;5;100;1000;False;True;True;True;14;---;0,389610288720716;0;0;NaN;NaN;1,49030627505176;0;0;0;936;99064;0;0,990638666666667;0,00936133333333334;1;0;NaN;1;0,990638666666667
Simplexn;5;200;500;False;True;False;False;9;---;0;0;0;0;NaN;1,56422424611162;0;0;0;183;99807;10;0,998073666666667;0,00182784643605322;1;9,88467533283632E-05;1;0,999901153246672;0,998172153563947
Simplexn;5;200;500;False;True;False;True;15;---;0,146806552313901;0,000422391716467955;0,000422391716467955;1;0,000844393764318646;1,52729638624271;0;0;10;23577;76413;0;0,764225333333333;0,235798004520946;0,999577608283532;0;0;1;0,764201995479054
Simplexn;5;200;500;False;True;True;False;14;---;0,389582683816988;0,000155038759689922;0,000155763239875389;NaN;NaN;1,49219785736557;0;0;0;937;99063;0;0,99063;0,00936868938848442;0,999844236760125;1,34484520831757E-06;NaN;0,999998655154792;0,990631310611516
Simplexn;5;200;500;False;True;True;True;14;---;0,389610288720716;0,00015343306482547;0,000154142581888247;NaN;NaN;1,49181624259516;0;0;0;936;99064;0;0,990638666666667;0,00936002296183696;0,999845857418112;1,34496730048358E-06;NaN;0,999998655032699;0,990639977038163
Simplexn;5;500;200;False;True;False;False;9;---;0;0;0;0;NaN;1,56497118137891;0;0;0;183;99807;10;0,998073666666667;0,00182784643605322;1;9,88467533283632E-05;1;0,999901153246672;0,998172153563947
Simplexn;5;500;200;False;True;False;True;15;---;0,146806552313901;0,000422391716467955;0,000422391716467955;1;0,000844393764318646;1,52668756904936;0;0;10;23577;76413;0;0,764225333333333;0,235798004520946;0,999577608283532;0;0;1;0,764201995479054
Simplexn;5;500;200;False;True;True;False;14;---;0,389582683816988;0;0;NaN;NaN;1,490684306507;0;0;0;937;99063;0;0,99063;0,00937000000000001;1;0;NaN;1;0,99063
Simplexn;5;500;200;False;True;True;True;14;---;0,389610288720716;0;0;NaN;NaN;1,49030627505176;0;0;0;936;99064;0;0,990638666666667;0,00936133333333334;1;0;NaN;1;0,990638666666667
Simplexn;5;1000;100;False;True;False;False;8;---;0,0333333333333333;0,0016359918200409;0,0016359918200409;0,0333333333333333;NaN;1,52614329732879;0,0333333333333333;2;0;182;99808;10;0,998083333333333;0,00182084587600842;0,998364008179959;9,61753850535318E-05;0,966666666666667;0,999903824614946;0,998179154123992
Simplexn;5;1000;100;False;True;False;True;15;---;0,146806552313901;0,000422391716467955;0,000422391716467955;1;0,000844393764318646;1,52668756904936;0;0;10;23577;76413;0;0,764225333333333;0,235798004520946;0,999577608283532;0;0;1;0,764201995479054
Simplexn;5;1000;100;False;True;True;False;14;---;0,410002109865553;0;0;NaN;NaN;1,45654705388902;0,0333333333333333;3;0;912;99088;0;0,990878666666667;0,00912133333333334;1;0;NaN;1;0,990878666666667
Simplexn;5;1000;100;False;True;True;True;14;---;0,389610288720716;0;0;NaN;NaN;1,49030627505176;0;0;0;936;99064;0;0,990638666666667;0,00936133333333334;1;0;NaN;1;0,990638666666667
Cuben;2;100;1000;False;True;False;False;3;---;0,507111247927846;0,38967216009418;0,422156448866092;0,879986775188025;0,557076380451602;0,472878879738561;0,311549630211463;173;9787;15076;73803;1334;0,835903666666667;0,169637106916347;0,577843551133908;0,0165856097841347;0,120013224811975;0,983414390215865;0,830362893083653
Cuben;2;100;1000;False;True;False;True;3;---;0,419332623546287;0,32926610374372;0,431876967576134;0,690607732981976;0,492092144137535;0,401088291338311;0,207726643664291;64;7686;13495;75384;3435;0,830697;0,151867993863187;0,568123032423866;0,0413494219960623;0,309392267018024;0,958650578003937;0,848132006136813
Cuben;2;100;1000;False;True;True;False;3;---;0,491102345139939;0;0;NaN;NaN;0,788460114248578;0,313730644816232;147;0;28752;71220;28;0,7122;0,287619569502892;1;0,000419958490097028;NaN;0,999580041509903;0,712380430497108
Cuben;2;100;1000;False;True;True;True;3;---;0,426115921301349;0;0;NaN;NaN;0,542762952473282;0,20361679862981;45;0;23402;76570;28;0,765701333333333;0,234108817817958;1;0,000400998515777762;NaN;0,999599001484222;0,765891182182042
Cuben;2;200;500;False;True;False;False;4;---;0,849873216788879;0,897887051442395;0,918421092787993;0,971497053053992;0,943447775138704;0,11845048658468;0,845264274040287;411;10803;1018;87861;317;0,986649;0,0114489366205949;0,0815789072120063;0,00362618532813896;0,0285029469460083;0,996373814671861;0,988551063379405
Cuben;2;200;500;False;True;False;True;4;---;0,881605534475635;0,972015966713296;0,978534664521312;0,993218300593277;0,985767248248701;0,0127453715475615;0,87887884363352;313;11046;245;88634;75;0,996799;0,00275496574437712;0,0214653354786881;0,000848062097598749;0,00678169940672294;0,999151937902401;0,997245034255623
Cuben;2;200;500;False;True;True;False;4;---;0,85570928124135;0;0;NaN;NaN;0,401783311734179;0,85271704225512;398;0;11744;88229;28;0,882289;0,117468284753379;1;0,000312801369337438;NaN;0,999687198630663;0,882531715246621
Cuben;2;200;500;False;True;True;True;4;---;0,881994730303635;0;0;NaN;NaN;0,336151426071354;0,880001756169549;248;0;11260;88712;28;0,887121333333333;0,112634759772076;1;0,000311284871768813;NaN;0,999688715128231;0,887365240227924
Cuben;2;500;200;False;True;False;False;4;---;0,858846682597441;0,918158373569349;0,934974128121567;0,977971367054793;0,955240105527851;0,0723033039448705;0,85546516790427;146;10876;809;88070;245;0,989458;0,00910574412394629;0,0650258718784326;0,00279343195505665;0,0220286329452069;0,997206568044943;0,990894255876054
